State,stateid
EAST AYESHIRE,bacdc25a-5f33-f111-88b4-6045bde02116
East Kazakhstan Region,ad85ca54-5f33-f111-88b4-6045bde02116
EAST LOTHIAN,42cec25a-5f33-f111-88b4-6045bde02116
EAST RENFREWSHIRE,bccdc25a-5f33-f111-88b4-6045bde02116
EAST SUSSEX,6bcdc25a-5f33-f111-88b4-6045bde02116
EAT DUNBARTONSHIRE,94cdc25a-5f33-f111-88b4-6045bde02116
ECUADOR,5acdc25a-5f33-f111-88b4-6045bde02116
Edinburgh,3fdacf4e-5f33-f111-88b4-6045bde02116
EGYPT,5dcdc25a-5f33-f111-88b4-6045bde02116
EL SALVADOR,8915bb60-5f33-f111-88b4-6045bde02116
Emilia-Rom,93cec25a-5f33-f111-88b4-6045bde02116
Enfield,41dacf4e-5f33-f111-88b4-6045bde02116
EQUATORIAL GUINEA,53cec25a-5f33-f111-88b4-6045bde02116
ERITREA,5fcdc25a-5f33-f111-88b4-6045bde02116
ESSEX,42dacf4e-5f33-f111-88b4-6045bde02116
ESTONIA,5ccdc25a-5f33-f111-88b4-6045bde02116
ETHIOPIA,61cdc25a-5f33-f111-88b4-6045bde02116
Exeter,43dacf4e-5f33-f111-88b4-6045bde02116
Extremadura,44dacf4e-5f33-f111-88b4-6045bde02116
Falkirk,47dacf4e-5f33-f111-88b4-6045bde02116
FALKLAND ISLANDS (MALVINAS),64cdc25a-5f33-f111-88b4-6045bde02116
Far Eastern Federal District,8585ca54-5f33-f111-88b4-6045bde02116
FAROE ISLANDS,66cdc25a-5f33-f111-88b4-6045bde02116
Federated States of Micronesia,49dacf4e-5f33-f111-88b4-6045bde02116
Fergana Region,c9ccc25a-5f33-f111-88b4-6045bde02116
FERMANAGH,73cdc25a-5f33-f111-88b4-6045bde02116
FIFE,86dacf4e-5f33-f111-88b4-6045bde02116
FIJI,63cdc25a-5f33-f111-88b4-6045bde02116
FINGAL,68cec25a-5f33-f111-88b4-6045bde02116
FINLAND,62cdc25a-5f33-f111-88b4-6045bde02116
FLINTSHIRE,7ecdc25a-5f33-f111-88b4-6045bde02116
Florida,48dacf4e-5f33-f111-88b4-6045bde02116
FRANCE,4adacf4e-5f33-f111-88b4-6045bde02116
FRANCE METROPOLITAN,67cdc25a-5f33-f111-88b4-6045bde02116
Franche-Comte,46dacf4e-5f33-f111-88b4-6045bde02116
French Guiana,5bdacf4e-5f33-f111-88b4-6045bde02116
French Guiana,5adacf4e-5f33-f111-88b4-6045bde02116
FRENCH GUIANA,f7ccc25a-5f33-f111-88b4-6045bde02116
French Polynesia,a684ca54-5f33-f111-88b4-6045bde02116
FRENCH POLYNESIA,5c15bb60-5f33-f111-88b4-6045bde02116
FRENCH SOUTHERN TERRITORIES,9015bb60-5f33-f111-88b4-6045bde02116
Fribourg,2185ca54-5f33-f111-88b4-6045bde02116
Friuli-Ven,8dcec25a-5f33-f111-88b4-6045bde02116
Fujian,4385ca54-5f33-f111-88b4-6045bde02116
GABON,68cdc25a-5f33-f111-88b4-6045bde02116
Galashiels[1],de84ca54-5f33-f111-88b4-6045bde02116
Galicia,4fdacf4e-5f33-f111-88b4-6045bde02116
GALWAY,60cec25a-5f33-f111-88b4-6045bde02116
GAMBIA,51cec25a-5f33-f111-88b4-6045bde02116
Gansu,4485ca54-5f33-f111-88b4-6045bde02116
Geneva,3485ca54-5f33-f111-88b4-6045bde02116
GEORGIA,4ccec25a-5f33-f111-88b4-6045bde02116
Georgia,4edacf4e-5f33-f111-88b4-6045bde02116
GERMANY,2cdacf4e-5f33-f111-88b4-6045bde02116
GHANA,4ecec25a-5f33-f111-88b4-6045bde02116
GIBRALTAR,4fcec25a-5f33-f111-88b4-6045bde02116
GLAMORGAN,54dacf4e-5f33-f111-88b4-6045bde02116
Glarus,1f85ca54-5f33-f111-88b4-6045bde02116
Glasgow,4cdacf4e-5f33-f111-88b4-6045bde02116
Gloucester,53dacf4e-5f33-f111-88b4-6045bde02116
Goa,4ddacf4e-5f33-f111-88b4-6045bde02116
Gomel Region,a485ca54-5f33-f111-88b4-6045bde02116
Graubunden,2b85ca54-5f33-f111-88b4-6045bde02116
GREATER LONDON,b2cdc25a-5f33-f111-88b4-6045bde02116
GREATER MANCHESTER,9ecdc25a-5f33-f111-88b4-6045bde02116
GREECE,55cec25a-5f33-f111-88b4-6045bde02116
GREENLAND,50cec25a-5f33-f111-88b4-6045bde02116
GRENADA,4bcec25a-5f33-f111-88b4-6045bde02116
GUADELOUPE,58dacf4e-5f33-f111-88b4-6045bde02116
GUADELOUPE,f6ccc25a-5f33-f111-88b4-6045bde02116
Guainia,6b85ca54-5f33-f111-88b4-6045bde02116
GUAM,58cec25a-5f33-f111-88b4-6045bde02116
Guam,57dacf4e-5f33-f111-88b4-6045bde02116
Guanajuato,3f15bb60-5f33-f111-88b4-6045bde02116
Guanajuato,59dacf4e-5f33-f111-88b4-6045bde02116
Guangdong,4585ca54-5f33-f111-88b4-6045bde02116
Guangxi,4685ca54-5f33-f111-88b4-6045bde02116
GUATEMALA,57cec25a-5f33-f111-88b4-6045bde02116
Guaviare,6c85ca54-5f33-f111-88b4-6045bde02116
GUERNSEY,4dcec25a-5f33-f111-88b4-6045bde02116
Guernsey,5cdacf4e-5f33-f111-88b4-6045bde02116
Guerrero,55dacf4e-5f33-f111-88b4-6045bde02116
Guildford,56dacf4e-5f33-f111-88b4-6045bde02116
GUINEA,52cec25a-5f33-f111-88b4-6045bde02116
GUINEA-BISSAU,59cec25a-5f33-f111-88b4-6045bde02116
Guizhou,4785ca54-5f33-f111-88b4-6045bde02116
Gujarat State,52dacf4e-5f33-f111-88b4-6045bde02116
GUYANA,f8ccc25a-5f33-f111-88b4-6045bde02116
GWYNNEDD,8bcdc25a-5f33-f111-88b4-6045bde02116
Hainan,4885ca54-5f33-f111-88b4-6045bde02116
HAITI,5dcec25a-5f33-f111-88b4-6045bde02116
Halifax,6ddacf4e-5f33-f111-88b4-6045bde02116
Hamburg,45cdc25a-5f33-f111-88b4-6045bde02116
HAMPSHIRE,6bdacf4e-5f33-f111-88b4-6045bde02116
Harrogate,5fdacf4e-5f33-f111-88b4-6045bde02116
Harrow,5ddacf4e-5f33-f111-88b4-6045bde02116
Haryana,69dacf4e-5f33-f111-88b4-6045bde02116
Haute-Normandie (Upper Normandy),64dacf4e-5f33-f111-88b4-6045bde02116
Hawaii,60dacf4e-5f33-f111-88b4-6045bde02116
HEARD ISLAND AND MCDONALD ISLANDS,5acec25a-5f33-f111-88b4-6045bde02116
Hebei,3985ca54-5f33-f111-88b4-6045bde02116
Heilongjiang,4985ca54-5f33-f111-88b4-6045bde02116
HEMEL HEMPSTEAD,65dacf4e-5f33-f111-88b4-6045bde02116
Henan,3a85ca54-5f33-f111-88b4-6045bde02116
Hereford,68dacf4e-5f33-f111-88b4-6045bde02116
HEREFORDSHIRE,8ecdc25a-5f33-f111-88b4-6045bde02116
Hesse,49cdc25a-5f33-f111-88b4-6045bde02116
Hidalgo,3615bb60-5f33-f111-88b4-6045bde02116
Hidalgo,62dacf4e-5f33-f111-88b4-6045bde02116
HIGHLAND,7ccdc25a-5f33-f111-88b4-6045bde02116
Himachal Pradesh,66dacf4e-5f33-f111-88b4-6045bde02116
HOLY SEE (VATICAN CITY STATE),aa15bb60-5f33-f111-88b4-6045bde02116
HONDURAS,5bcec25a-5f33-f111-88b4-6045bde02116
HONG KONG,63dacf4e-5f33-f111-88b4-6045bde02116
Hong Kong,5985ca54-5f33-f111-88b4-6045bde02116
Hrodna Region,a585ca54-5f33-f111-88b4-6045bde02116
Hubei,35cdc25a-5f33-f111-88b4-6045bde02116
Hubei,4a85ca54-5f33-f111-88b4-6045bde02116
Huddersfield,5edacf4e-5f33-f111-88b4-6045bde02116
Huila,6d85ca54-5f33-f111-88b4-6045bde02116
Hull,6cdacf4e-5f33-f111-88b4-6045bde02116
Hunan,4b85ca54-5f33-f111-88b4-6045bde02116
HUNGARY,5ecec25a-5f33-f111-88b4-6045bde02116
ICELAND,8bcec25a-5f33-f111-88b4-6045bde02116
Idaho,6fdacf4e-5f33-f111-88b4-6045bde02116
Ile-de-France,70dacf4e-5f33-f111-88b4-6045bde02116
Ilford[1],71dacf4e-5f33-f111-88b4-6045bde02116
Illinois,72dacf4e-5f33-f111-88b4-6045bde02116
INDIA,85cec25a-5f33-f111-88b4-6045bde02116
Indiana,74dacf4e-5f33-f111-88b4-6045bde02116
INDONESIA,5fcec25a-5f33-f111-88b4-6045bde02116
INVERCLYDE,b8cdc25a-5f33-f111-88b4-6045bde02116
Inverness,79dacf4e-5f33-f111-88b4-6045bde02116
INVERNESS-SHIRE,abcdc25a-5f33-f111-88b4-6045bde02116
Iowa,6edacf4e-5f33-f111-88b4-6045bde02116
Ipswich,75dacf4e-5f33-f111-88b4-6045bde02116
"IRAN, ISLAMIC REPUBLIC OF",8acec25a-5f33-f111-88b4-6045bde02116
IRAQ,89cec25a-5f33-f111-88b4-6045bde02116
IRE,4185ca54-5f33-f111-88b4-6045bde02116
IRE,4085ca54-5f33-f111-88b4-6045bde02116
IRELAND,62cec25a-5f33-f111-88b4-6045bde02116
Islas Baleares,76dacf4e-5f33-f111-88b4-6045bde02116
Islas Canarias,77dacf4e-5f33-f111-88b4-6045bde02116
Isle of Anglesey,a7cdc25a-5f33-f111-88b4-6045bde02116
ISLE OF MAN,83cec25a-5f33-f111-88b4-6045bde02116
Isle of Man,73dacf4e-5f33-f111-88b4-6045bde02116
Isle of Wight,6fcdc25a-5f33-f111-88b4-6045bde02116
Isles of Scilly,81cdc25a-5f33-f111-88b4-6045bde02116
ISRAEL,82cec25a-5f33-f111-88b4-6045bde02116
ITALY,78dacf4e-5f33-f111-88b4-6045bde02116
Ivano-Frankivsk Region,8d85ca54-5f33-f111-88b4-6045bde02116
Jalisco,7adacf4e-5f33-f111-88b4-6045bde02116
JAMAICA,a3cec25a-5f33-f111-88b4-6045bde02116
Jambyl Region,ae85ca54-5f33-f111-88b4-6045bde02116
Jammu & Kashmir,7edacf4e-5f33-f111-88b4-6045bde02116
JAPAN,a7cec25a-5f33-f111-88b4-6045bde02116
JERSEY,a2cec25a-5f33-f111-88b4-6045bde02116
Jersey,7bdacf4e-5f33-f111-88b4-6045bde02116
