nor_countryid,nor_name
8b314ceb-5e33-f111-88b4-6045bde02116,SINGAPORE
8c314ceb-5e33-f111-88b4-6045bde02116,SLOVAKIA
8d314ceb-5e33-f111-88b4-6045bde02116,SLOVENIA
8e314ceb-5e33-f111-88b4-6045bde02116,SOLOMON ISLANDS
8f314ceb-5e33-f111-88b4-6045bde02116,SOMALIA
90314ceb-5e33-f111-88b4-6045bde02116,SOUTH AFRICA
91314ceb-5e33-f111-88b4-6045bde02116,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
93314ceb-5e33-f111-88b4-6045bde02116,SPAIN
94314ceb-5e33-f111-88b4-6045bde02116,SRI LANKA
97314ceb-5e33-f111-88b4-6045bde02116,SUDAN
98314ceb-5e33-f111-88b4-6045bde02116,SURINAME
99314ceb-5e33-f111-88b4-6045bde02116,SVALBARD AND JAN MAYEN
9a314ceb-5e33-f111-88b4-6045bde02116,SWAZILAND
9b314ceb-5e33-f111-88b4-6045bde02116,SWEDEN
9c314ceb-5e33-f111-88b4-6045bde02116,SWITZERLAND
9d314ceb-5e33-f111-88b4-6045bde02116,SYRIAN ARAB REPUBLIC
9e314ceb-5e33-f111-88b4-6045bde02116,"TAIWAN, PROVINCE OF CHINA"
9f314ceb-5e33-f111-88b4-6045bde02116,TAJIKISTAN
a0314ceb-5e33-f111-88b4-6045bde02116,"TANZANIA, UNITED REPUBLIC OF"
a1314ceb-5e33-f111-88b4-6045bde02116,THAILAND
688751e5-5e33-f111-88b4-6045bde02116,TIMOR-LESTE
a2314ceb-5e33-f111-88b4-6045bde02116,TOGO
a3314ceb-5e33-f111-88b4-6045bde02116,TOKELAU
a4314ceb-5e33-f111-88b4-6045bde02116,TONGA
a5314ceb-5e33-f111-88b4-6045bde02116,TRINIDAD AND TOBAGO
a6314ceb-5e33-f111-88b4-6045bde02116,TUNISIA
a7314ceb-5e33-f111-88b4-6045bde02116,TURKEY
a8314ceb-5e33-f111-88b4-6045bde02116,TURKMENISTAN
ab314ceb-5e33-f111-88b4-6045bde02116,TURKS AND CAICOS ISLANDS
ac314ceb-5e33-f111-88b4-6045bde02116,TUVALU
ad314ceb-5e33-f111-88b4-6045bde02116,UGANDA
ae314ceb-5e33-f111-88b4-6045bde02116,UKRAINE
af314ceb-5e33-f111-88b4-6045bde02116,UNITED ARAB EMIRATES
7f8751e5-5e33-f111-88b4-6045bde02116,UNITED KINGDOM
b0314ceb-5e33-f111-88b4-6045bde02116,UNITED STATES
b1314ceb-5e33-f111-88b4-6045bde02116,UNITED STATES MINOR OUTLYING ISLANDS
b2314ceb-5e33-f111-88b4-6045bde02116,URUGUAY
b3314ceb-5e33-f111-88b4-6045bde02116,UZBEKISTAN
b4314ceb-5e33-f111-88b4-6045bde02116,VANUATU
b6314ceb-5e33-f111-88b4-6045bde02116,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
b9314ceb-5e33-f111-88b4-6045bde02116,Viet Nam
ba314ceb-5e33-f111-88b4-6045bde02116,"VIRGIN ISLANDS, BRITISH"
bb314ceb-5e33-f111-88b4-6045bde02116,"VIRGIN ISLANDS, U.S."
be314ceb-5e33-f111-88b4-6045bde02116,WALLIS AND FUTUNA
bf314ceb-5e33-f111-88b4-6045bde02116,WESTERN SAHARA
c2314ceb-5e33-f111-88b4-6045bde02116,YEMEN
c3314ceb-5e33-f111-88b4-6045bde02116,YUGOSLAVIA
c6314ceb-5e33-f111-88b4-6045bde02116,ZAMBIA
cc314ceb-5e33-f111-88b4-6045bde02116,ZIMBABWE
